Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Property Type,Property Type - Self Selected,Year Built,Energy Audit Due Date,Energy Audit Status,2020 Benchmark Status,2020 Reason for Exemption,2019 Benchmark Status,2019 Reason for Exemption,2018 Benchmark Status,2018 Reason for Exemption,2017 Benchmark Status,2017 Reason for Exemption,2016 Benchmark Status,2016 Reason for Exemption,2015 Benchmark Status,2015 Reason for Exemption,2014 Benchmark Status,2014 Reason for Exemption,2013 Benchmark Status,2013 Reason for Exemption,2012 Benchmark Status,2012 Reason for Exemption,2011 Benchmark Status,2011 Reason for Exemption,2020 ENERGY STAR Score,2020 Site EUI (kBtu/ft2),2020 Source EUI (kBtu/ft2),2020 Percent Better than National Median Site EUI,2020 Percentage Better than National Median Source EUI,2020 Weather Normalized Site EUI (kBtu/ft2),2020 Weather Normalized Source EUI (kBtu/ft2),2019 ENERGY STAR Score,2019 Site EUI (kBtu/ft2),2019 Source EUI (kBtu/ft2),2019 Percent Better than National Median Site EUI,2019 Percentage Better than National Median Source EUI,2019 Weather Normalized Site EUI (kBtu/ft2),2019 Weather Normalized Source EUI (kBtu/ft2),2018 ENERGY STAR Score,2018 Site EUI (kBtu/ft2),2018 Source EUI (kBtu/ft2),2018 Percent Better than National Median Site EUI,2018 Percent Better than National Median Source EUI,2018 Weather Normalized Site EUI (kBtu/ft2),2018 Weather Normalized Source EUI (kBtu/ft2),2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Percent Better than National Median Source EUI,2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percent Better than National Median Source EUI,2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percent Better than National Median Source EUI,2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/ft2),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
0322/001,601 OFARRELL ST,601 OFARRELL ST,94109,58872,Mixed Residential,Multifamily Housing,1928,,,Complied,,Complied,,Complied,PG&E will not provide data,,,,,,,,,,,,,,,,75.4,98.8,2.8,2.8,81.2,104.9,53,72.7,95.8,-2.2,-2.2,72.7,95.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5501/079,Bernal Gateway Apartments,3101 MISSION ST,94110,85812,Mixed Residential,,2000,,,Violation - Did Not Report,,Violation - Insufficient Data,,Exempt,PG&E will not provide data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0738/005,810 EDDY ST,810 EDDY ST,94109,58624,Mixed Residential,,1927,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513/026,2700 45TH AVE,2700 45TH AVE,94116,21263,Commercial,Food Service,1974,2021-04-01 0:00:00,Did Not Comply,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,17.4,38,-92.8,-92.8,17.4,38,,28.9,58.5,-88.9,-88.9,28.9,58.5,,74,122,-76.9,-76.9,74,122,,83.5,146.4,-73,-73,84,147,,85,150.8,-72.2,-72.2,85,150.8,,78,143.9,-74,-74,78.7,144.8,,76.2,143.2,-73.6,-73.6,78.8,145.9,,76.7,140.8,-74.1,-74.1,74.8,138.8,,,,,,,,,,,,,,
3727/014,1126 HOWARD ST,1126 HOWARD ST,94103,21640,Commercial,Office,1930,2021-04-01 0:00:00,Did Not Comply,Complied,,Violation - Insufficient Data,,Complied,,Exempt,Change in Ownership,Violation - Did Not Report,,Complied,,Exempt,Change in Ownership,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,,33,92.4,-20.6,-20.6,33,92.4,,,,,,,,37,60.8,170.3,16.8,16.8,60.8,170.3,,,,,,,,,,,,,,,95,28.8,90.4,,,29.5,92.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0267/015,235 Pine,235 PINE ST,94104,222853,Commercial,Office,1991,2023-04-01 0:00:00,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,28.2,66.4,-62.8,-62.8,30.8,69.6,87,41.2,98.8,-44.8,-44.8,42.1,99,86,40.7,94.6,-44.1,-44.1,40.3,94.1,95,38.2,99.8,-52.5,-52.5,39.5,101.3,94,36.8,94.3,-51,-51,39.3,98,93,44.3,114.4,-49,-49,45.5,115,91,45.1,121.2,-45.6,-45.6,47.3,123.4,95,40,100.7,-54.3,-54.3,40,100.7,97,35.8,94.6,-57.4,,35.8,94.6,97,39.1,,-56.9,,38.4,
1145/003-E,University Center,2375 Golden Gate Ave,94117,94601,Commercial,College/University,1921,2020-04-01 0:00:00,Did Not Comply,Complied,,Complied,,Complied,,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,,,,38.5,107.7,-40.4,-40.4,38.5,107.7,,51.2,143.3,-20.7,-20.7,51.2,143.3,,53.7,150.5,-16.7,-16.7,53.7,150.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3936/003,16th&Kansas Streets Building,1616 16TH ST,94103,72330,Commercial,Office,1912,2023-04-01 0:00:00,Upcoming,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,,,,,,100,14.3,28.1,-79.2,-79.2,14.4,28.2,100,15.4,28.1,-77.9,-77.9,16.8,29.6,100,17,34.3,-79.6,-79.6,18.5,35.8,100,16.8,36.2,-78.5,-78.5,19.7,39.4,100,15.8,36,-78,-78,,,100,15.1,34.9,-79.1,-79.1,,,100,18.5,38.9,-77,-77,16.9,36.8,,,,,,,,,,,,,,
6300/043,Britton Courts,148 BRITTON ST,94134,146197,Mixed Residential,Multifamily Housing,2000,,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,,23.7,46.5,-38.6,-38.6,24.2,47.4,98,21.8,43.2,-43.6,-43.6,22,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3763/015B,450 BRYANT ST,448 BRYANT ST,94107,24351,Commercial,Office,1924,2020-04-01 0:00:00,Pending - Contracted,Complied,,Complied,,Violation - Insufficient Data,,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Exempt,Change in Ownership,Exempt,Change in Ownership,Exempt,Change in Ownership,Exempt,Change in Ownership,,13.4,31.5,-77,-77,15,33.2,90,26.7,65.4,-52.3,-52.3,27.7,65.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0566/024,2000 BROADWAY,2000 BROADWAY,94115,245885,Mixed Residential,Multifamily Housing,1974,,,Violation - Insufficient Data,,Complied,,Exempt,PG&E will not provide data,,,,,,,,,,,,,,,,,,,,,,91,44.3,85.7,-24.9,-24.9,44.3,85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4288/003,Yellow Cab Co-op,1200 MISSISSIPPI ST,94107,26000,Commercial,Office,1986,2021-04-01 0:00:00,Pending - Contracted,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.4,214.5,44.9,44.9,127.8,230.6,,102.1,205,38,38,108.7,211.9,,77.2,182.4,,,87.7,193.5,,104.4,214.6,44.9,44.9,105.7,216,,103.1,213.3,44,,99.7,209.7,,,,,,,
0687/036,Nihomachi Terrace,1620 LAGUNA ST,94109,152459,Mixed Residential,Multifamily Housing,1975,,,Complied,,Complied,,Exempt,PG&E will not provide data,,,,,,,,,,,,,,,,87,108.6,-5.2,-5.2,87,108.6,58,86.3,110.3,-5.4,-5.4,86.3,110.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0313/010,Terra Verde - 26 O'Farrell,20 OFARRELL ST,94108,40858,Commercial,Office,1909,2020-04-01 0:00:00,Did Not Comply,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,45,76.1,-27.8,-27.8,51.3,82.8,78,41.2,77.8,-34.3,-34.3,,,71,49,83.6,-26.1,-26.1,48.1,82.6,,43.3,86.3,-41.7,-41.7,45.9,89.1,,43.5,85.2,-42.4,-42.4,47.6,89.5,,41,85,-43,-43,43.2,87.3,,35.5,79,-46.6,-46.6,40.3,85.1,96,38.5,83.1,-56.8,-56.8,38.8,83.6,,39.7,93.1,-41.6,,39.8,93.5,,,,,,,
3589/120,2200 MISSION ST,2200 MISSION ST,94110,70144,Mixed Residential,,2009,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0295/016,Grand Hyatt San Francisco,345 STOCKTON ST,94108,602630,Commercial,Hotel,1972,2019-04-01 0:00:00,Pending - Waiting for Clarification,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,31.6,68.8,-63.2,-63.2,31.6,68.8,93,52.1,110.3,-41.5,-41.5,52.1,110.3,82,57.8,118.2,-27,-27,57.5,117.8,81,60.3,136.7,-28.8,-28.8,61.3,137.8,79,59.8,136.6,-27.1,-27.1,61.4,137.9,82,59.3,134.6,-30,-30,60,134.8,80,59.6,136.5,-27.5,-27.5,61.6,138.5,79,62.8,141.3,-27.2,-27.2,63,141.5,80,63.3,149.6,-28.2,,62.2,148.3,74,69.5,,-21.9,,70.1,
0761/001,745 FRANKLIN STREET,745 FRANKLIN ST,94102,71146,Commercial,Office,1953,2022-04-01 0:00:00,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,,,,61.4,121.7,-33.8,-33.8,62.3,122.2,78,54.3,113,-34.8,-34.8,54.3,112.8,78,50.7,111.5,-34.6,-34.6,50.7,111.7,76,53.7,118.4,-31.7,-31.7,53.7,118.4,80,52.2,121,-37.2,-37.2,52.2,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3794/014,111 TOWNSEND ST,111 TOWNSEND ST,94107,22500,Commercial,Office,1911,2019-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,,22.3,62.4,-48,-48,22.3,62.4,79,27.5,77,-35.9,-35.9,27.1,75.8,77,26.7,74.8,-33.8,-33.8,26.8,75.1,77,28,78.5,-34.2,-34.2,28,78.5,86,35.6,111.5,-39.4,-39.4,35.6,111.5,97,17.6,55.1,-59,-59,17.6,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0330/001,111 ELLIS ST,111 ELLIS ST,94102,18000,Commercial,Retail Store,1907,2021-04-01 0:00:00,Did Not Comply,Exempt,Vacancy,Violation - Did Not Report,,Exempt,Tenant Turnover,Exempt,Tenant Turnover,Exempt,Tenant Turnover,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,82.8,133.1,6,6,82.8,133.1,39,87.6,143.7,14,14,87.6,143.7,31,97.6,158.3,25.6,25.6,97.6,158.3,,,,,,,,,,,,,,
0337/020,455 EDDY ST,455 EDDY ST,94102,277100,Mixed Residential,Multifamily Housing,1964,,,Complied,,Complied,,Violation - Insufficient Data,,,,,,,,,,,,,,,,,80.8,120.1,16.5,16.5,82.3,121.6,22,86.5,125,20.4,20.4,86.5,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5321/051,All Hallows Community,1711 OAKDALE AVE,94124,73879,Mixed Residential,Parking,,,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,,45,68.5,,,45.4,68.9,,42.2,63.9,,,42.5,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068/001J,2900 GEARY BLVD,2900 GEARY BLVD,94118,10737,Commercial,Retail Store,1929,2020-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,35.3,58.6,-43.4,-43.4,37.3,60.7,1,282,311.2,164.5,164.5,282,311.2,74,50.8,85.6,-23.9,-23.9,51.6,86.4,80,40,80.3,-36.8,-36.8,41.3,81.6,74,54.3,88.3,-29.2,-29.2,56.6,90.8,1,323.2,353.5,184,184,323.2,353.5,1,323.8,354.9,193.6,193.6,323.8,354.9,1,405.1,460.8,249.2,249.4,432.3,489.3,,,,,,,,,,,,,,
0683/038,2075 SUTTER ST,2075 SUTTER ST,94115,91105,Mixed Residential,Multifamily Housing,1992,,,Complied,,Complied,,Violation - Did Not Report,,,,,,,,,,,,,,,,,17.2,37.9,-38.6,-38.6,17.5,38.5,,17.6,38.5,-38.3,-38.3,17.7,38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3788/039,345 Brannan St,345 Brannan St,94107,132036,Commercial,Office,2016,2022-04-01 0:00:00,Upcoming,Complied,,Complied,,Exempt,Change in Ownership,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,,,,32.5,90.6,-63.7,-63.7,32.5,90.6,92,41.1,114.3,-54.3,-54.3,41.1,114.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3510/049,SOMA Self Storage,1475 MISSION ST,94103,195000,Commercial,Self-Storage Facility,1975,2023-04-01 0:00:00,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,1.5,4.2,-91.2,-91.2,1.5,4.2,,1.8,5.2,-89.2,-89.2,1.8,5.2,,1.5,4.3,-91.1,-91.1,1.5,4.3,,1.7,5.4,-88.7,-88.7,1.7,5.4,,4.5,14,-70.6,-70.6,4.4,13.7,,6.3,19.7,-58,-58,6.1,19.1,,6.5,20.3,-57.3,-57.3,6.2,19.3,,5.8,18.4,-61.4,-61.4,5.8,18.4,,5.4,17.9,-46.4,,5.4,17.9,,5.8,,-31.1,,6.1,
3905/002,Byer California - 66 Potrero Ave.,66 POTRERO AVE,94103,162478,Commercial,Non-Refrigerated Warehouse,1956,2020-04-01 0:00:00,Did Not Comply,Violation - Insufficient Data,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,68,24.7,65.4,-25.9,-25.9,25.1,65.8,85,22.7,65.8,-43.5,-43.5,23.2,66.2,73,28,82.5,-28.3,-28.3,28.9,83.5,69,29.4,86.9,-24,-24,29.9,87.5,67,29.8,88.2,-20.8,-20.8,29.8,88.2,69,31.9,91.5,-24.2,-24.2,31.4,91,,30.1,92.8,-57,,29.9,92.6,,31.1,,-24.7,,30.6,
3708/097,25 JESSIE ST,25 JESSIE ST,94105,127215,Mixed Residential,Office,1982,,,Violation - Insufficient Data,,Violation - Insufficient Data,,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0108/007,Interland - 1160 Battery Street,1160 BATTERY ST,94111,228617,Commercial,Office,1982,2019-04-01 0:00:00,Complied,Complied,,Complied,Change in Ownership,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,57.2,126.3,-32,-32,59.8,129.1,,76.8,165.4,-26.8,-26.8,77.6,164.5,50,99.9,212.5,-0.1,-0.1,99.9,212.5,76,79.9,193.6,-28.1,-28.1,79.9,193.6,79,68.8,184.5,-30.6,-30.6,68.8,184.5,71,90.9,208.1,-23,-23,90,205.4,66,97.2,221.4,-16.9,-16.9,99.3,221.2,60,109.8,241.7,-10.9,-10.8,108.9,238.7,72,96,226.2,-23.1,,98.2,233.5,74,92.8,,-25.2,,93,
0499/002D,1340 LOMBARD ST,1340 LOMBARD ST,94109,99441,Mixed Residential,Multifamily Housing,1927,,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,,38.6,50.3,-45.9,-45.9,45.3,58.6,31,78.2,101,12.2,12.2,81.8,105.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0228/010,560 SACRAMENTO ST,560 SACRAMENTO ST,94111,24549,Commercial,Office,1909,2019-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,,44.4,93.5,7.1,7.1,50.3,99.7,,49.7,121.2,38.6,38.6,51.3,122.8,84,51.9,126,-43.4,-43.4,52,126.1,82,47.2,128.8,-34.7,-34.7,48.9,130.5,80,49.1,132.1,-31.8,-31.8,51.4,134.5,79,53.1,135.8,,,53.1,135.8,85,39.7,119,,,39.7,119,84,40.1,125.8,-36.7,-36.7,40.1,125.8,,,,,,,,,,,,,,
0623/005,1870 SACRAMENTO ST,1870 SACRAMENTO ST,94109,126390,Mixed Residential,,1906,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732/119,981 HOWARD ST,981 HOWARD ST,94103,19250,Commercial,Other,1927,2014-04-01 0:00:00,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9900/027,Pier 27 - James R. Herman Cruise Terminal,27 Pier,94111,56103,Commercial,Transportation Terminal/Station,1900,2099-04-01 0:00:00,Exempt - Municipal,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Did Not Report,,Violation - Insufficient Data,,Violation - Did Not Report,,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0667/010,1400 VAN NESS AVE,1400 VAN NESS AVE,94109,18321,Commercial,Other,1913,2013-04-01 0:00:00,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0270/037,R1005 CO 430 Bush,430 BUSH ST,94108,159383,Commercial,Other,0,2012-11-15 0:00:00,Did Not Comply,Exempt,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Violation - Did Not Report,,Complied,,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,124.1,0.8,0.8,39.5,124.1,,,,,,,,,41.2,137.6,-41.1,,41.2,137.6,,42.6,,12.1,,42.6,
0806/041,740 BUCHANAN ST,740 BUCHANAN ST,94102,59400,Multifamily,,1975,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3775/016,350 Brannan Street,350 BRANNAN ST,94107,17195,Commercial,Office,1929,2023-04-01 0:00:00,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,12.9,21.6,-81.4,-81.4,15.9,24.7,80,29.8,54.1,-37.2,-37.2,33.6,60.2,75,38.3,71.3,-31.7,-31.7,37.2,69.8,95,32.8,72.9,-53.7,-53.7,36.4,78.8,97,29.8,68.3,-58.7,-58.7,34.3,76.4,96,30.7,74.1,-56,-56,32.3,77.5,94,30.6,78.6,-52.4,-52.4,34.8,86.2,91,37.2,91.6,-46.1,-46.1,37.5,92.3,,,,,,,,,,,,,,
0267/003,65 Battery Street,65 BATTERY ST,94104,15406,Commercial,Office,1918,2019-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,13.9,39,-66.5,-66.5,13.9,39,,46.8,130.9,12.5,12.5,46,128.8,,50.9,142.5,22.5,22.5,51.1,143.2,,51.5,161.8,9.3,9.3,51.5,161.8,,54.6,171.4,15.8,15.8,54.6,171.4,,74.2,233,57,57,72.7,228.4,,77.4,243,64.1,64.1,75.1,235.7,,77.5,243.4,64.4,64.4,77.3,242.7,,,,,,,,,,,,,,
0311/013,Mechanics' Institute,57 POST ST,94104,70769,Commercial,Office,1909,2023-04-01 0:00:00,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,15.1,29.6,-79.8,-79.8,18.3,32.9,95,30.5,55.6,-62.4,-62.4,33.2,58.5,91,36.4,65.1,-53.3,-53.3,35.9,64.5,99,33.6,61.1,-67.9,-67.9,33.6,61.1,,30.8,64.8,-47.4,-47.4,33.3,67.4,,34,70.1,-43,-43,35.8,72,,37.1,72.3,-41.3,-41.3,40.1,75.4,,43.2,77.9,-36.7,-36.7,43.4,78.1,,47.9,94.2,-23.5,,46.5,92.7,,49,,-23.7,,48.7,
3513/001,1 MCCOPPIN ST,1 MCCOPPIN ST,94103,90377,Commercial,Other,1937,2013-04-01 0:00:00,Did Not Comply,Exempt,,Exempt,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Violation - Did Not Report,,Complied,,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,584.1,374.4,374.4,180.8,567.6,,,,,,,,,178.7,596.7,155.2,,181.9,607.5,,175.9,,362.5,,179.2,
5418/013,Yosemite Place,1775 YOSEMITE AVE,94124,122020,Commercial,Office,1929,2019-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,46.7,50.8,-66.3,-66.3,46.7,50.8,95,54.6,57.6,-61.9,-61.9,54.6,57.6,93,25.7,60.4,-58.2,-58.2,26.3,61.1,99,24.6,64.5,-67.6,-67.6,25.5,65.4,99,25.6,67.4,-66.1,-66.1,27.3,69.1,99,25.7,68,-66,-66,26.8,69.2,99,24.9,67,-66.1,-66.1,24.9,67,98,27.7,71.6,-64.3,-64.3,26.4,70.2,98,28.2,80.9,-62,,27.4,80,98,28.2,,-61.7,,27.4,
0575/015,"2151 Van Ness Avenue, LLC",2151 VAN NESS AVE,94109,27912,Commercial,College/University,1900,2020-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,,Exempt,,,4.9,10,-94.4,-94.4,4.9,10,,19,29.8,-83.5,-83.5,21.7,32.6,,6.8,19.2,-89.4,-89.4,6.8,19.2,,6.1,19.3,-92.7,-92.7,6.1,19.3,,4.9,15.5,-94.1,-94.1,4.9,15.5,,13,27.7,-90,-90,,,,19,29.6,-88.7,-88.7,23.5,34.3,,44.1,66.7,-74.6,-74.6,44.7,67.2,,30.5,31.9,-70.7,,29.9,31.3,,,,,,,
0340/001,Ambassador Hotel,101 EDDY ST,94102,76609,Mixed Residential,Multifamily Housing,1917,,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,,48.2,79.2,-31.7,-31.7,49.6,80.7,88,52.7,84.5,-27.6,-27.6,53.3,85.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0343/010,86 GOLDEN GATE AVE,86 GOLDEN GATE AVE,94102,11180,Commercial,Manufacturing/Industrial Plant,1918,2020-04-01 0:00:00,Pending - Contracted,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,28.5,53.4,,,28.5,53.4,,32.8,65,,,32.8,65,,34.4,70,,,34.4,70,,31,69.5,,,31,69.5,,35.6,86.2,,,35.6,86.2,,39.1,88.9,,,39.1,88.9,,39.5,92.9,,,39.5,92.9,,39.3,92.7,,,39.3,92.7,,,,,,,,,,,,,,
1449/022,GGCC Building,378 18TH AVE,94121,17900,Commercial,Worship Facility,1929,2013-04-01 0:00:00,Did Not Comply,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,51.4,-27.2,-27.2,19.9,51.7,,21,54.6,-23,-23,21,53.9,,22.2,59.3,-16.1,-16.1,22.8,59.9,,23.8,62.3,-11.9,-11.9,23.5,61.9,,,,,,,,,,,,,,
